id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
63405,Private Suite in Mission,142882,Jessica And Sebouh,,Mission,37.75399609,-122.4177063,Entire home/apt,125,2,172,1/22/2018,2.07,4,332
65408,Sunny 2 bedroom with private deck and views,116319,Tasha,,Castro/Upper Market,37.7609587,-122.4321993,Entire home/apt,225,3,72,1/24/2018,0.84,1,243
66119,Large garden studio apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77797943,-122.4781239,Entire home/apt,100,3,94,1/4/2018,1.18,1,364
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77718605,-122.5090602,Entire home/apt,216,30,11,1/16/2015,0.14,25,349
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Felipe,,Mission,37.75425726,-122.4238661,Entire home/apt,326,31,34,1/12/2018,0.41,1,265
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73026802,-122.4264432,Private room,46,30,38,7/31/2017,0.45,11,247
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128161,-122.424784,Private room,46,30,26,9/1/2017,0.32,11,263
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,7,1/14/2018,0.09,25,341
70185,Classic Victorian in Ideal Location,349322,Jaime,,Haight Ashbury,37.7662949,-122.4474439,Entire home/apt,225,7,29,8/30/2017,0.36,1,228
70753,Friendly Hostel with Community #1,329072,Darren & Friends,,Financial District,37.79446982,-122.4045049,Shared room,38,1,263,1/29/2018,3.08,17,26
71645,Bernal Heights Northslope Studio,367464,Jeff,,Bernal Heights,37.74577519,-122.408412,Private room,109,2,57,1/11/2018,2.44,1,269
72365,Cozy loft in the center of SF. F1A,374909,Eric,,Western Addition,37.77518125,-122.4333409,Entire home/apt,100,30,61,8/8/2017,0.73,1,346
72444,Friendly Hostel with Community #2,329072,Darren & Friends,,Financial District,37.79308771,-122.4044315,Shared room,38,1,263,2/1/2018,3.15,17,28
74758, Mission Outr Rustic Pvt Bedroom ,305973,Maria,,Excelsior,37.73137082,-122.4253181,Private room,42,30,31,6/4/2017,0.37,11,278
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73127949,-122.424727,Private room,36,30,8,5/14/2017,0.11,11,356
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73048025,-122.4249358,Private room,44,30,29,8/12/2017,0.35,11,278
77175,Private Studio w/ Kitchenette &Bath,395569,Tyler&Shoreh,,Glen Park,37.73838179,-122.4337516,Entire home/apt,135,3,217,1/23/2018,2.6,1,165
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73133676,-122.4245656,Private room,49,30,18,9/25/2017,0.24,11,308
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.7561541,-122.4192715,Private room,75,3,60,1/13/2018,0.74,4,323
81256,MISSION Outr BedRM#2 + 2Beds+Fridge,305973,Maria,,Excelsior,37.73152154,-122.4254703,Private room,40,30,18,12/7/2017,0.23,11,350
82919,"Quiet Queen Room, Private Bath, Parking, City View",451471,Rita,,Bernal Heights,37.7342982,-122.4209213,Private room,82,3,311,1/29/2018,3.75,2,72
83257,Charming Lower Pac Hts Private Room,453743,Kimberly,,Western Addition,37.78528002,-122.4435815,Private room,90,1,73,10/9/2017,0.89,1,215
83553,Sutro Garden View,127367,Annette,,Outer Richmond,37.77482554,-122.5095181,Entire home/apt,85,30,6,10/5/2017,0.08,25,254
87640,Comfy Garden Guest,479857,Karin,,Noe Valley,37.74549597,-122.4289845,Private room,115,3,279,1/29/2018,3.37,1,177
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,300,3,91,1/15/2018,1.18,1,248
96383,Prime Location Bright Private Room ,216682,Jay,,Pacific Heights,37.79175618,-122.4247552,Private room,65,30,127,9/9/2017,1.55,6,365
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76808631,-122.4243903,Entire home/apt,185,5,11,8/21/2017,0.13,1,0
100710,Stylish Living in Liberty Hill,528857,Jonathan,,Mission,37.75629056,-122.4251775,Entire home/apt,450,6,9,8/24/2017,0.11,1,245
108535,Canto Uccello,127367,Annette,,Noe Valley,37.74877853,-122.4261578,Entire home/apt,120,30,14,1/5/2018,0.18,25,342
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73327365,-122.4643456,Private room,125,2,276,1/1/2018,3.41,1,345
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71548672,-122.3892242,Entire home/apt,120,30,8,3/16/2017,0.1,1,308
113211,Shelli's Student Home (1 Month Min),576273,Shelli,,Chinatown,37.79294123,-122.4065867,Shared room,29,30,12,12/15/2017,0.18,7,216
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.76101577,-122.4300545,Private room,125,1,377,1/29/2018,4.63,1,353
115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,582450,Dawn,,North Beach,37.80591172,-122.4082989,Entire home/apt,275,30,3,10/31/2016,0.04,1,155
117955,Stunning 2bd2bt- Roofdeck + HOTTUB!,595792,Sumner,,South of Market,37.77540808,-122.4114224,Entire home/apt,500,3,65,11/25/2017,1.01,1,36
124011,Golden Gate Park Family Victorian,617985,Patrick,,Inner Sunset,37.7633399,-122.4694756,Entire home/apt,480,7,7,12/16/2017,0.17,1,231
126046,SF Victorian With Skyline Views ,625762,Ryan And Lindsea,,Haight Ashbury,37.76813476,-122.444936,Entire home/apt,170,30,79,12/8/2017,1.02,2,279
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75886842,-122.4356478,Entire home/apt,328,3,125,12/12/2017,1.54,1,275
130665,Great home base while enjoying SF!,643143,Leslie,,Bernal Heights,37.73350147,-122.4286815,Entire home/apt,140,3,110,1/12/2018,1.38,1,187
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76608594,-122.451262,Private room,65,32,10,8/6/2017,0.15,7,365
134015,Ideal location in Marina + Private deck,657837,Heidi,,Marina,37.80356039,-122.4258887,Entire home/apt,305,3,64,12/25/2017,0.8,1,19
137546,Bernal Heights Gem near SF Mission,672097,Christopher 'Scott',,Bernal Heights,37.7470781,-122.4245638,Private room,102,1,183,1/16/2018,2.56,3,93
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Mission,37.75557545,-122.4247407,Entire home/apt,1200,4,19,8/14/2017,0.24,3,270
