id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15339049,Stroll to Golden Gate Park from a Modern Oasis,28407268,Rosellen,,Haight Ashbury,37.77182473,-122.4391468,Entire home/apt,350,30,33,3/26/2018,1.85,1,130
9586933,#202a - Amazing room in Startup House,10624127,Bed|N|Build,,Noe Valley,37.75256736,-122.4296462,Shared room,59,30,5,2/5/2018,0.19,3,230
15086385,Resplendent Russian Hill Studio w/ Parking,15103537,Mary,,Russian Hill,37.80440227,-122.4231348,Entire home/apt,250,30,36,1/31/2018,1.98,1,264
9433478,Lovely Modern 2 Bedroom-Location!,48895257,Rad,,Nob Hill,37.7942845,-122.413363,Entire home/apt,175,30,2,9/30/2017,0.07,1,365
9231212,"Lovely, Sunny Studio in Nob Hill",1510178,Gina,,Nob Hill,37.79149794,-122.4149906,Entire home/apt,110,85,4,1/5/2016,0.14,1,41
14845574,Cole Valley Jewel 1 BR,92916855,Patricia,,Inner Sunset,37.76585893,-122.454081,Entire home/apt,130,30,32,7/15/2017,1.68,1,301
8758259,Sunny Bedroom-Large Victorian Flat,45925535,Lana,,Nob Hill,37.79147977,-122.4147937,Private room,129,30,34,3/27/2018,1.12,1,261
22435235,Castro 4bd/2ba flat all yours,102598592,Luke,,Castro/Upper Market,37.76560183,-122.4338629,Entire home/apt,485,30,0,,,1,147
22356192,Beautiful Victorian,124883713,Enzo&Nika,,Russian Hill,37.79646328,-122.422432,Private room,165,28,14,3/18/2018,4.38,1,40
21267701,"Centrally Located Victorian, Comfortably Sleeps 6",153835489,Maggie,,Western Addition,37.77045457,-122.4313807,Entire home/apt,350,30,14,1/13/2018,2.39,2,179
17420087,Residential hotel near Union Square SF room #3,115849,Hiromi,,Downtown/Civic Center,37.7869127,-122.4116917,Private room,108,32,22,12/23/2017,1.98,8,80
17433218,Classic San Francisco home at Golden Gate Park,25963935,Michelle,,Inner Sunset,37.76190485,-122.4677035,Entire home/apt,350,31,6,1/8/2018,0.63,1,0
16944112,Quality Stay:Moscone Center in SoMa,113262641,Jason,,South of Market,37.78072844,-122.4052319,Entire home/apt,155,30,16,11/17/2017,1.11,1,35
16444225,Amazing Gem! Updated Kitchen! King Sized bed!,107848024,Elizabeth,,Western Addition,37.77695515,-122.4413025,Entire home/apt,250,30,3,3/21/2017,0.21,1,90
8592609,Sunny Noe Cottage Corporate Housing,1678230,Jenny & Norbert,,Noe Valley,37.75477117,-122.4270921,Entire home/apt,189,30,13,3/3/2018,0.49,2,321
16322016,"Comfy 2-Queen Flat w/Pkg, Yard, & Laundry by Beach",106823536,Lily,,Parkside,37.73823147,-122.4944967,Entire home/apt,179,30,63,3/12/2018,3.96,1,60
14657426,Fresh Ocean Breeze and Sunset view,29248670,Marilou,,Parkside,37.74300324,-122.5043033,Private room,125,31,1,10/8/2016,0.05,3,300
5253439,Bunk bed in the Treat Street Clubhouse,23278,Zain And Duncan,,Mission,37.75783386,-122.4130874,Shared room,33,30,113,2/20/2018,2.95,8,90
13734123,3BR Home by the Beach w/ Free Parking & Laundry!,4582677,Felix,,Parkside,37.73740233,-122.4949133,Entire home/apt,359,30,96,2/24/2018,4.47,3,141
10729994,"Middle of the City, Artsy and Cool",7719339,Robin,,Mission,37.75353249,-122.4101495,Entire home/apt,175,30,57,3/16/2018,2.17,1,122
21356840,"Life in SF, Bunk Bed in a Shared Room D2",154519240,Naya,,Lakeshore,37.73297735,-122.4750114,Shared room,45,31,9,3/11/2018,1.8,4,365
4295573,SF bedroom one block from Mission Street,260494,Jeff,,Excelsior,37.7242411,-122.4338976,Private room,53,30,92,2/21/2018,2.31,1,90
3615642,Spacious and Sunny by the Bay,214187,Alan,,Marina,37.80632442,-122.4364859,Private room,150,30,0,,,1,0
21578438,Private room in Cozy SF Home,17054038,Stefan,,Bayview,37.73250455,-122.3922115,Private room,82,31,0,,,2,364
1433917,Castro St Location Location Location,4819815,Barbara & Mick,,Castro/Upper Market,37.75866815,-122.4345411,Entire home/apt,175,30,124,9/16/2017,2.28,1,85
6516295,Spacious SOMA Loft w/ Parking,34074805,Eriem,,South of Market,37.77248454,-122.4077985,Entire home/apt,250,30,4,7/29/2016,0.16,1,0
5804060,ROMANTIC PRIVATE MARINA APARTMENT,30111455,Gabriela,,Marina,37.79797829,-122.4302264,Entire home/apt,109,30,57,9/21/2017,1.56,1,218
1159284,TELEGRAPH HILL WATERFRONT CONDO. VIEWS/DECKS/PARK,5548292,Tess,,North Beach,37.80390492,-122.4066082,Entire home/apt,225,30,3,8/27/2015,0.06,1,362
1195173,Walking Distance to Downtown!,6531356,Jennifer,,Nob Hill,37.79267721,-122.4153231,Private room,70,30,19,12/9/2017,0.33,1,236
1080933,Cozy Private 2 Rms - Separate Entry,4501070,Polina,,Noe Valley,37.74303502,-122.4287371,Private room,74,30,14,3/31/2018,0.24,2,279
5589530,Spacious Mission Garden Studio,20545698,Lori And Randy,,Mission,37.75989876,-122.4078099,Entire home/apt,170,2,199,3/20/2018,5.34,1,78
1104362,Heart of Castro Sunny Garden Studio,627552,Jan,,Castro/Upper Market,37.76225161,-122.4323159,Entire home/apt,192,4,125,3/16/2018,2.17,1,292
5470034,Small Room steps from Valencia,9639039,Joseph,,Mission,37.76054446,-122.421676,Private room,25,30,142,10/4/2017,3.79,2,263
815183,Country in the City... (30-day min),4282539,Lily,,Outer Mission,37.72754034,-122.4492683,Private room,60,30,8,9/9/2017,0.18,1,364
1053666,Studio with private entrance in Inner Mission,1572034,Neil,,Mission,37.75697616,-122.4112585,Entire home/apt,180,31,107,3/14/2018,1.93,2,296
2551994,Stunning Views from a Modern Home near Dolores Park,1035201,Joy & Peter,,Castro/Upper Market,37.76311548,-122.4315038,Entire home/apt,198,30,63,1/2/2018,1.28,1,0
2262616,"Cozy Room in SoMa, San Francisco",1756593,Rio,,South of Market,37.77562116,-122.4169012,Private room,65,30,39,1/31/2018,0.77,3,309
2126868,Jungle Room: Breakfast + Parking + 3 Bathrooms,5565510,Lulu,,West of Twin Peaks,37.7337658,-122.4642904,Private room,44,2,152,3/29/2018,2.95,5,296
1913043,Penthouse PatioBedRoom+Bath Monthly,6744265,Todd,,South of Market,37.78829886,-122.3915137,Private room,77,30,23,7/29/2017,0.43,3,21
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.7648003,-122.4525132,Private room,65,32,14,8/16/2017,0.18,7,365
20626447,Room for female close to public transport,21940642,Alex,,Crocker Amazon,37.71319125,-122.4380348,Shared room,0,3,8,4/2/2018,1.14,7,176
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73556832,-122.4330159,Entire home/apt,126,30,145,1/1/2018,1.56,1,288
21555212,Shared Hostel Room in Warm Community - Friends,117141107,Tobie,,Haight Ashbury,37.76891965,-122.4491101,Shared room,50,1,3,3/20/2018,2.05,16,213
