id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21863110,Spa Retreat and Farmers Market Haven,5503169,Neil,,Bernal Heights,37.73495462,-122.4155721,Private room,70,3,10,1/18/2018,3.26,2,0
21866860,Private Guest Suite in Noe Valley/Mission,159507011,Paula,,Mission,37.7509053,-122.423275,Private room,99,2,0,,,1,35
21880287,Room in art-filled Mission District Victorian Home,963387,Michael,,Mission,37.75421601,-122.4167211,Private room,75,3,20,2/20/2018,6.38,2,16
21880724,Beautiful 2 Bedroom Upgraded Unit in Noe Valley,8811880,Matthew,,Noe Valley,37.74987486,-122.4272506,Entire home/apt,160,2,2,2/26/2018,0.82,2,0
21882962,Charming Victorian in the heart of Hayes Valley,1718848,Shahed,,Western Addition,37.777269,-122.4263998,Entire home/apt,219,4,1,11/26/2017,0.3,2,0
21892811,Cocoa Residence Ghirardelli Square,74021003,Jaqi,,Russian Hill,37.80586077,-122.4224923,Entire home/apt,625,1,0,,,1,83
21893272,Modern comfortable accomodation,150371094,Paul,,Financial District,37.78906048,-122.393836,Entire home/apt,299,30,1,12/8/2017,0.34,1,365
21905262,Modern apartment at the heart of San Francisco!,13268352,Aziz,,South of Market,37.77366724,-122.3967404,Private room,150,1,15,2/26/2018,5.42,3,130
21909473,Modern Studio Noe Valley+Mission. Sweet location!,24529896,Phyllis,,Mission,37.75318885,-122.4250112,Entire home/apt,210,6,2,12/19/2017,0.7,1,311
21915572,Top floor Spacious West Portal Home,162565,Rishi,,West of Twin Peaks,37.74253469,-122.4639186,Entire home/apt,140,3,7,1/8/2018,2.59,2,0
21919621,Studio at the Donatello near Union Square,47514427,Jeff,,Downtown/Civic Center,37.78810598,-122.4094058,Private room,210,1,0,,,14,4
21920818,Awesome Furnished Studio near waterfront,159944936,Tata,,South of Market,37.78120462,-122.3893991,Entire home/apt,105,7,1,12/3/2017,0.33,1,62
21923195,The Oasis: Mid Century Noe Valley VIEW Suite+Deck,1444847,,,Noe Valley,37.74881793,-122.443458,Entire home/apt,151,2,5,3/1/2018,2.88,1,139
